,userId,itemId,Xmin,Ymin,Xmax,Ymax,L,H,P,S,L/H,D
0,1164,6132,62,656,276,803,214,147,722,31458,1.45578231292517,259.6247291765559
1,1399,6132,184,662,235,740,51,78,258,3978,0.6538461538461539,93.1933474020544
2,1694,6132,63,648,272,830,209,182,782,38038,1.1483516483516485,277.1371501621535
3,916,6132,111,637,253,831,142,194,672,27548,0.7319587628865979,240.41630560342617
4,1621,6132,60,651,242,819,182,168,700,30576,1.0833333333333333,247.68528418135784
5,1092,6132,39,649,249,825,210,176,772,36960,1.193181818181818,274.0
6,301,31297,29,393,126,487,97,94,382,9118,1.0319148936170213,135.07405376311175
7,1508,31297,25,399,120,485,95,86,362,8170,1.1046511627906976,128.14444974324874
8,535,31297,25,399,108,472,83,73,312,6059,1.1369863013698631,110.5350623105628
9,254,18168,209,739,534,1051,325,312,1274,101400,1.0416666666666667,450.5208097302499
10,1147,18168,243,719,479,977,236,258,988,60888,0.9147286821705426,349.6569747624091
11,246,18168,159,718,587,1074,428,356,1568,152368,1.2022471910112358,556.7045895266178
12,29,8398,53,1020,61,1027,8,7,30,56,1.1428571428571428,10.63014581273465
13,421,8398,54,1020,61,1028,7,8,30,56,0.875,10.63014581273465
14,1050,8398,53,1019,61,1028,8,9,34,72,0.8888888888888888,12.041594578792296
15,154,8774,116,959,795,1300,679,341,2040,231539,1.991202346041056,759.8170832509625
16,866,8774,308,1044,755,1317,447,273,1440,122031,1.637362637362637,523.7728515301266
17,311,8774,288,967,296,975,8,8,32,64,1.0,11.313708498984761
18,1651,2722,21,324,305,507,284,183,934,51972,1.5519125683060109,337.85351855500926
19,950,2722,65,322,328,473,263,151,828,39713,1.7417218543046358,303.2655601943617
20,577,2722,22,318,312,507,290,189,958,54810,1.5343915343915344,346.15170084805305
21,1585,29286,42,605,118,691,76,86,324,6536,0.8837209302325582,114.76933388322858
22,379,29286,35,598,120,681,85,83,336,7055,1.0240963855421688,118.80235687897779
23,1165,29286,96,602,97,603,1,1,4,1,1.0,1.4142135623730951
24,857,3135,116,171,552,575,436,404,1680,176144,1.0792079207920793,594.4005383577643
