,userId,itemId,Xmin,Ymin,Xmax,Ymax,Xmin_true,Ymin_true,Xmax_true,Ymax_true,acc,se_Xmin,se_Ymin,se_Xmax,se_Ymax,Y_xmin,Y_ymin,Y_xmax,Y_ymax
0,1164,6132,62,656,276,803,47,650,213,812,0.9888920667558188,225,36,3969,81,1,1,0,1
1,1399,6132,184,662,235,740,47,650,213,812,0.936663394322612,18769,144,484,5184,0,0,1,0
2,1694,6132,63,648,272,830,47,650,213,812,0.9895259223758764,256,4,3481,324,1,1,0,1
3,916,6132,111,637,253,831,47,650,213,812,0.9839577841850446,4096,169,1600,361,0,0,1,1
4,1621,6132,60,651,242,819,47,650,213,812,0.9972687522062555,169,1,841,49,1,1,1,1
5,1092,6132,39,649,249,825,47,650,213,812,0.9960577272411048,64,1,1296,169,1,1,1,1
6,301,31297,29,393,126,487,18,390,122,472,0.9973326814819076,121,9,16,225,0,1,1,0
7,1508,31297,25,399,120,485,18,390,122,472,0.9978215700512614,49,81,4,169,1,0,1,0
8,535,31297,25,399,108,472,18,390,122,472,0.9976562106822152,49,81,196,0,1,0,0,1
9,254,18168,209,739,534,1051,35,713,656,1082,0.9172620468348052,30276,676,14884,961,0,0,1,1
10,1147,18168,243,719,479,977,35,713,656,1082,0.8485621591039683,43264,36,31329,11025,0,1,0,0
11,246,18168,159,718,587,1074,35,713,656,1082,0.9642400615270376,15376,25,4761,64,1,1,1,1
12,29,8398,53,1020,61,1027,51,1021,59,1027,0.9999904154477424,4,1,4,0,1,1,0,1
13,421,8398,54,1020,61,1028,51,1021,59,1027,0.9999840257462372,9,1,4,1,0,1,0,0
14,1050,8398,53,1019,61,1028,51,1021,59,1027,0.999986155646739,4,4,4,1,1,0,0,0
15,154,8774,116,959,795,1300,205,792,835,1309,0.9388924407695044,7921,27889,1600,81,1,1,1,1
16,866,8774,308,1044,755,1317,205,792,835,1309,0.8686654450370584,10609,63504,6400,64,0,0,1,1
17,311,8774,288,967,296,975,205,792,835,1309,0.28349915793943115,6889,30625,290521,111556,1,1,0,0
18,1651,2722,21,324,305,507,86,293,372,463,0.8502753098041238,4225,961,4489,1936,0,0,0,0
19,950,2722,65,322,328,473,86,293,372,463,0.957214148473868,441,841,1936,100,1,0,1,1
20,577,2722,22,318,312,507,86,293,372,463,0.8677352383654205,4096,625,3600,1936,0,1,0,0
21,1585,29286,42,605,118,691,34,593,148,671,0.995010273938608,64,144,900,400,1,0,1,1
22,379,29286,35,598,120,681,34,593,148,671,0.9969889584112288,1,25,784,100,1,1,1,1
23,1165,29286,96,602,97,603,34,593,148,671,0.9631064684452768,3844,81,2601,4624,0,1,0,0
24,857,3135,116,171,552,575,73,284,596,623,0.9095044772681466,1849,12769,1936,2304,0,1,1,1
25,356,3135,101,156,564,592,73,284,596,623,0.908088835142476,784,16384,1024,961,1,0,1,1
26,903,3135,105,173,476,478,73,284,596,623,0.7659631645120113,1024,12321,14400,21025,1,1,0,0
27,1496,30215,63,368,235,548,14,316,325,556,0.9104551643156844,2401,2704,8100,64,0,0,1,1
28,1508,30215,38,326,220,554,14,316,325,556,0.9210096991721372,576,100,11025,4,1,1,1,1
29,590,30215,61,357,197,479,14,316,325,556,0.8231710506114915,2209,1681,16384,5929,0,0,0,0
30,491,30215,50,330,239,554,14,316,325,556,0.9399930153813448,1296,196,7396,4,1,1,1,1
31,483,30215,52,327,218,556,14,316,325,556,0.9121760123901062,1444,121,11449,0,0,1,0,1
32,1453,30215,49,361,228,545,14,316,325,556,0.9137551435642812,1225,2025,9409,121,1,0,1,1
33,147,30215,47,320,239,548,14,316,325,556,0.9421997499708974,1089,16,7396,64,1,1,1,1
34,145,30215,61,345,179,509,14,316,325,556,0.8206606369499824,2209,841,21316,2209,0,1,0,0
35,904,30215,36,339,227,539,14,316,325,556,0.9264016898053248,484,529,9604,289,1,1,1,1
36,1041,33357,56,899,220,1060,48,897,263,1058,0.9973010451600756,64,4,1849,4,0,1,0,1
37,1411,33357,53,904,258,1069,48,897,263,1058,0.9996909057445168,25,49,25,121,1,1,1,0
38,937,33357,48,911,212,1064,48,897,263,1058,0.9960197089737088,0,196,2601,36,1,0,0,1
39,660,10766,6,255,404,725,3,179,682,589,0.6788892568672535,9,5776,77284,18496,1,0,0,0
40,917,10766,94,214,448,689,3,179,682,589,0.7652111848912123,8281,1225,54756,10000,0,1,1,1
41,1743,10766,60,172,479,635,3,179,682,589,0.8525954199076646,3249,49,41209,2116,1,1,1,1
42,831,11109,47,609,920,1102,141,561,732,1162,0.9065363355764314,8836,2304,35344,3600,0,1,1,1
43,820,11109,99,718,924,1031,141,561,732,1162,0.8498915773719549,1764,24649,36864,17161,1,0,1,0
44,1212,11109,31,603,546,1084,141,561,732,1162,0.8982133593099767,12100,1764,34596,6084,0,1,1,1
45,917,11109,79,687,935,1048,141,561,732,1162,0.8620457353144256,3844,15876,41209,12996,1,0,0,0
46,1576,11109,76,667,924,1124,141,561,732,1162,0.8996596163966365,4225,11236,36864,1444,1,0,1,1
