userId,itemId,Xmin,Ymin,Xmax,Ymax,Xmin_true,Ymin_true,Xmax_true,Ymax_true,acc,se_Xmin,se_Ymin,se_Xmax,se_Ymax,Y_xmin,Y_ymin,Y_xmax,Y_ymax,L,H,P,S,L/H,D
1164,6132,62,656,276,803,47,650,213,812,0.9888920667558188,225,36,3969,81,1,1,0,1,214.0,147.0,722.0,31458.0,1.45578231292517,259.6247291765559
1399,6132,184,662,235,740,47,650,213,812,0.936663394322612,18769,144,484,5184,0,0,1,0,51.0,78.0,258.0,3978.0,0.6538461538461539,93.1933474020544
1694,6132,63,648,272,830,47,650,213,812,0.9895259223758764,256,4,3481,324,1,1,0,1,209.0,182.0,782.0,38038.0,1.1483516483516485,277.1371501621535
916,6132,111,637,253,831,47,650,213,812,0.9839577841850446,4096,169,1600,361,0,0,1,1,142.0,194.0,672.0,27548.0,0.7319587628865979,240.41630560342617
1621,6132,60,651,242,819,47,650,213,812,0.9972687522062555,169,1,841,49,1,1,1,1,182.0,168.0,700.0,30576.0,1.0833333333333333,247.68528418135784
1092,6132,39,649,249,825,47,650,213,812,0.9960577272411048,64,1,1296,169,1,1,1,1,210.0,176.0,772.0,36960.0,1.193181818181818,274.0
301,31297,29,393,126,487,18,390,122,472,0.9973326814819076,121,9,16,225,0,1,1,0,97.0,94.0,382.0,9118.0,1.0319148936170213,135.07405376311175
1508,31297,25,399,120,485,18,390,122,472,0.9978215700512614,49,81,4,169,1,0,1,0,95.0,86.0,362.0,8170.0,1.1046511627906976,128.14444974324874
535,31297,25,399,108,472,18,390,122,472,0.9976562106822152,49,81,196,0,1,0,0,1,83.0,73.0,312.0,6059.0,1.1369863013698631,110.53506231056281
254,18168,209,739,534,1051,35,713,656,1082,0.9172620468348052,30276,676,14884,961,0,0,1,1,325.0,312.0,1274.0,101400.0,1.0416666666666667,450.5208097302499
1147,18168,243,719,479,977,35,713,656,1082,0.8485621591039683,43264,36,31329,11025,0,1,0,0,236.0,258.0,988.0,60888.0,0.9147286821705426,349.6569747624091
246,18168,159,718,587,1074,35,713,656,1082,0.9642400615270376,15376,25,4761,64,1,1,1,1,428.0,356.0,1568.0,152368.0,1.2022471910112358,556.7045895266178
29,8398,53,1020,61,1027,51,1021,59,1027,0.9999904154477424,4,1,4,0,1,1,0,1,8.0,7.0,30.0,56.0,1.1428571428571428,10.63014581273465
421,8398,54,1020,61,1028,51,1021,59,1027,0.9999840257462372,9,1,4,1,0,1,0,0,7.0,8.0,30.0,56.0,0.875,10.63014581273465
